Region Name,Window Size,Lambda,Limit,Amount,Percentage,Regulation Hours
SE,quarter,10,0.08,257705.30397212505,0.0013459061124986,6631.0
TEN,quarter,10,0.17,287877.8948145807,0.0029208018653525,8253.0
TEN,quarter,10,0.14,275183.96020290256,0.0027920095247099,7785.0
TEN,quarter,10,0.19,293472.2434550077,0.002977561985663,8259.0
CENT,quarter,10,0.06,3610733.321116686,0.0139432288065901,8708.0
CENT,quarter,10,0.04,2506256.253621489,0.0096781737349088,8704.0
TEN,quarter,10,0.13,270895.4547536969,0.0027484984565062,7755.0
TEN,quarter,10,0.16,284708.22075617313,0.0028886424322418,8248.0
SE,quarter,10,0.2,311256.59379071,0.0016255860693644,6741.0
TEN,quarter,10,0.26,308054.1451482028,0.0031255095927319,8286.0
MIDW,quarter,10,0.09,2361430.60966146,0.0030726413341079,8760.0
CENT,quarter,10,0.17,5362185.799477488,0.020706647890141,8760.0
SE,quarter,10,0.1,270906.0012460947,0.0014148488112961,6664.0
MIDW,quarter,10,0.05,2059438.7650407555,0.0026796962183172,8760.0
NE,quarter,10,0.11,147018.61121070385,0.002588849904636,5211.0
SW,quarter,10,0.11,314877.01978471875,0.0038022913655131,7040.0
NE,quarter,10,0.06,117197.43897131084,0.002063729049036,4715.0
TEN,quarter,10,0.15,281217.83948394656,0.0028532291118224,8245.0
NE,quarter,10,0.28,214268.0446784124,0.0037730448034043,6383.0
SE,quarter,10,0.02,161230.1008425057,0.0008420493288184,4750.0
CENT,quarter,10,0.28,5917068.470124245,0.0228493860404198,8760.0
MIDW,quarter,10,0.19,2648327.7453467846,0.0034459455481454,8760.0
SW,quarter,10,0.06,268844.5259588659,0.0032464268761745,6381.0
CENT,quarter,10,0.02,1256894.608413577,0.0048536315347321,8629.0
TEN,quarter,10,0.12,266278.2042020261,0.0027016519487783,7742.0
TEN,quarter,10,0.09,248739.88986203077,0.0025237086535058,7691.0
CENT,quarter,10,0.03,1885078.332333386,0.0072794294589279,8559.0
SW,quarter,10,0.21,359488.20146508515,0.0043409928275142,7809.0
MIDW,quarter,10,0.25,2725850.078887224,0.0035468158957128,8760.0
NE,quarter,10,0.05,109076.18764781952,0.0019207219797867,4550.0
SW,quarter,10,0.04,233023.4627249241,0.0028138703195511,6091.0
NE,quarter,10,0.1,141996.47242020816,0.0025004150906912,5145.0
MIDW,quarter,10,0.18,2631789.214617014,0.0034244259773743,8760.0
SE,quarter,10,0.18,305548.26993379,0.0015957734583986,6730.0
CENT,quarter,10,0.26,5844892.224890649,0.022570669831774,8760.0
TEN,quarter,10,0.23,302617.86915430427,0.0030703532735092,8278.0
CENT,quarter,10,0.18,5433916.553492457,0.0209836437873043,8760.0
TEN,quarter,10,0.28,311180.2497333288,0.0031572269710649,8294.0
NE,quarter,10,0.27,211423.7496390417,0.0037229596279235,6379.0
MIDW,quarter,10,0.26,2735904.570595145,0.0035598985781718,8760.0
SW,quarter,10,0.24,367481.6462445557,0.0044375175154272,7861.0
CENT,quarter,10,0.07,3998903.7688852847,0.0154421900667698,8702.0
NE,quarter,10,0.24,202160.64343263957,0.0035598456424111,6339.0
CENT,quarter,10,0.15,5199764.253248692,0.0200794399019621,8760.0
NE,quarter,10,0.19,181686.02915178984,0.0031993082737614,5709.0
CENT,quarter,10,0.3,5981422.608381599,0.023097896355243,8760.0
TEN,quarter,10,0.18,290777.3468951732,0.0029502196330868,8256.0
SW,quarter,10,0.03,198042.86696104705,0.0023914628116154,5927.0
MIDW,quarter,10,0.27,2745550.3438341618,0.0035724494451896,8760.0
CENT,quarter,10,0.22,5670245.07929033,0.0218962513979114,8760.0
MIDW,quarter,10,0.17,2613738.00467813,0.0034009381418385,8760.0
