Region Name,sun,wind,curtail,Amount,Percentage,Regulation Hours
CENT,sun1,wnd0.5,0.1,39903849.83806285,0.1540929387673113,8648.0
TEN,sun0.5,wnd0.5,0.18,738149.9280858189,0.0074892505666389,6460.0
SE,sun1,wnd0.1,0.06,6548449.158931047,0.0342002962862766,5759.0
NE,sun0.3,wnd0.1,0.1,374595.74838580936,0.0065962429431187,4674.0
NY,sun0.1,wnd0.1,0.1,424222.32335691154,0.0055137311359588,7035.0
MIDA,sun0.1,wnd0.3,0.02,6773253.774901867,0.0123451832855197,8760.0
NE,sun0.1,wnd0.5,0.14,876363.6142576113,0.0154318550892868,5620.0
CENT,sun1,wnd0.3,0.06,26184202.051115423,0.1011130670275524,8732.0
TEX,sun0.1,wnd0.5,0.02,38489778.80059511,0.1162274733293731,8760.0
NY,sun0.1,wnd0.3,0.02,711721.2144821286,0.009250431211068,3043.0
CAL,sun0.5,wnd1,0.1,14492822.730508327,0.1186181803604826,8384.0
CAL,sun0.5,wnd0.1,0.02,8348289.197091639,0.0683275364706922,7121.0
SW,sun1,wnd0.5,0.06,7950704.631890371,0.0960085800870794,6728.0
MIDA,sun0.3,wnd1,0.14,20200394.37208599,0.0368179872260575,8760.0
MIDA,sun0.3,wnd0.5,0.06,11824063.86475867,0.0215509768925277,8760.0
MIDA,sun0.1,wnd0.3,0.18,6451788.896932602,0.0117592694883587,8760.0
SW,sun0.1,wnd0.1,0.1,1335391.7619398087,0.0161254974068054,6453.0
NE,sun0.5,wnd0.3,0.18,760985.8028442487,0.0134001713939769,5976.0
NY,sun0.3,wnd0.3,0.18,882542.8357613683,0.0114706455658649,7265.0
CAL,sun1,wnd0.1,0.18,14162046.089225382,0.1159109007625517,8484.0
SE,sun0.3,wnd0.3,0.1,2078099.698070079,0.010853199538014,6687.0
NY,sun1,wnd0.1,0.06,358819.57216359675,0.004663674064991,5813.0
MIDA,sun0.1,wnd0.5,0.02,10777941.48874259,0.0196442754901889,8760.0
FLA,sun0.3,wnd0.3,0.18,2730479.3306378424,0.0148110642001954,5072.0
CENT,sun0.3,wnd1,0.06,78969817.01479286,0.3049503049733055,8719.0
NE,sun1,wnd0.3,0.18,947423.9984515086,0.0166831548165105,5998.0
MIDA,sun1,wnd0.5,0.06,16054978.985545576,0.029262399551034,8760.0
CENT,sun1,wnd0.1,0.06,10856569.787158849,0.0419237930732179,8759.0
CENT,sun0.3,wnd0.3,0.14,24068107.770421147,0.0929415450379661,8685.0
TEX,sun0.3,wnd0.5,0.02,43007116.158239245,0.1298684638368906,8760.0
FLA,sun1,wnd0.3,0.14,8649014.12561065,0.0469152437981985,5697.0
MIDW,sun0.3,wnd1,0.02,96480195.9277333,0.125537899236803,8760.0
TEX,sun0.5,wnd0.1,0.1,19291582.830245797,0.0582547366795757,8616.0
TEX,sun1,wnd0.3,0.06,44191876.34556621,0.1334460807358508,8703.0
CENT,sun1,wnd0.1,0.18,10230304.088892668,0.0395054018080487,8640.0
FLA,sun0.1,wnd0.5,0.06,1019122.8007990122,0.0055280745256515,3610.0
NW,sun0.1,wnd0.5,0.06,19085371.85155922,0.0771211098754873,8508.0
CAR,sun0.1,wnd1,0.02,628115.2956896126,0.0044907041255193,2982.0
SE,sun1,wnd1,0.18,6074018.494055688,0.0317225082005429,7948.0
TEX,sun1,wnd0.5,0.1,55635303.72032559,0.1680017651653986,8597.0
CAL,sun0.1,wnd0.3,0.06,4383861.191859871,0.0358802178982503,8760.0
MIDW,sun0.3,wnd0.1,0.18,12727279.322361112,0.0165604546483921,8728.0
CAR,sun0.5,wnd0.1,0.18,2957274.7546994984,0.0211430067574501,7224.0
CAL,sun1,wnd0.5,0.06,18695835.274497315,0.153018221627169,8630.0
FLA,sun0.3,wnd0.3,0.1,2792420.710686207,0.0151470556674264,4372.0
NW,sun0.5,wnd1,0.06,40328164.839362144,0.1629600332570477,8452.0
TEX,sun0.3,wnd0.5,0.06,42563777.576999664,0.1285297156098909,8760.0
TEX,sun0.5,wnd0.1,0.18,17864218.461613,0.0539445286384736,8582.0
NE,sun0.5,wnd1,0.1,1750788.141780071,0.0308295648706039,5278.0
CAR,sun0.3,wnd1,0.06,1855524.4764369729,0.0132660539848646,5881.0
TEX,sun0.5,wnd0.1,0.06,19578913.743709624,0.0591223890049979,8760.0
NY,sun0.3,wnd0.5,0.14,1272880.922372833,0.0165439742032396,7412.0
NW,sun0.3,wnd0.1,0.02,7567945.962399095,0.0305809285057366,8760.0
FLA,sun1,wnd0.5,0.14,8649014.12561065,0.0469152437981985,5697.0
FLA,sun0.1,wnd0.1,0.18,1125210.3789272606,0.0061035302388188,4759.0
MIDW,sun0.5,wnd0.5,0.02,50877208.690828085,0.066200299830061,8760.0
TEN,sun0.3,wnd0.5,0.14,532955.1226800531,0.005407349242552,6125.0
MIDA,sun1,wnd0.1,0.1,8193789.355701327,0.0149343040672559,8760.0
CAL,sun1,wnd0.3,0.14,16034462.358307242,0.1312359078261042,8601.0
TEX,sun0.3,wnd0.1,0.18,14089920.96150744,0.042547293432127,8562.0
FLA,sun1,wnd1,0.14,8649014.12561065,0.0469152437981985,5697.0
NE,sun0.3,wnd0.3,0.02,606683.1051805094,0.0106830607888658,1105.0
SW,sun0.3,wnd0.5,0.18,4494926.156534523,0.0542783939116785,7654.0
CAL,sun0.1,wnd1,0.06,9224128.04955566,0.0754959406456497,8635.0
NY,sun1,wnd0.1,0.14,470726.951976791,0.0061181642472543,7340.0
MIDA,sun1,wnd0.3,0.02,12405952.691562474,0.0226115490277853,8760.0
CAL,sun0.5,wnd0.1,0.14,8301591.734176382,0.0679453356957666,8411.0
FLA,sun1,wnd0.1,0.02,9227032.92973858,0.050050617694202,3441.0
NY,sun1,wnd1,0.18,2213788.504930377,0.0287732020122688,7402.0
NW,sun0.5,wnd0.1,0.02,9890299.199478269,0.0399652077620952,8760.0
CENT,sun0.3,wnd0.5,0.02,41082998.16238916,0.1586463447989438,8760.0
CAR,sun1,wnd0.5,0.1,5698884.585906118,0.040744119266654,6706.0
NW,sun0.1,wnd1,0.06,35878468.91806042,0.1449794829838717,8503.0
NY,sun0.3,wnd1,0.14,2276184.508323401,0.029584179576922,7534.0
TEN,sun1,wnd0.5,0.14,1149618.3628926575,0.0116639989358792,6278.0
FLA,sun0.5,wnd0.3,0.14,4443409.3589077,0.0241025890744089,5035.0
NW,sun0.1,wnd1,0.14,32982995.370767,0.1332793109715491,8464.0
NW,sun0.5,wnd1,0.02,41282201.34332165,0.1668151509157102,8760.0
TEX,sun0.5,wnd1,0.06,81002638.03959626,0.244603430981798,8657.0
TEX,sun0.1,wnd0.1,0.18,10328876.98072654,0.0311900798396172,8569.0
SE,sun0.5,wnd1,0.02,3336830.920941025,0.0174271195184817,3187.0
TEX,sun0.1,wnd0.1,0.02,10166795.40178281,0.0307006425661151,8760.0
SW,sun0.5,wnd1,0.18,8249708.57192947,0.0996191963849673,7593.0
NY,sun1,wnd0.3,0.14,871769.3717669845,0.0113306199693854,7383.0
NE,sun1,wnd0.5,0.14,1227368.0491244346,0.0216126794485346,5685.0
MIDW,sun0.1,wnd1,0.06,93138443.98766792,0.1211896854475135,8760.0
SW,sun1,wnd0.3,0.18,5935784.13893351,0.0716774466248681,8118.0
SE,sun0.1,wnd1,0.02,702845.047673732,0.0036707177975109,2667.0
CAL,sun0.1,wnd0.5,0.02,5414509.458556563,0.0443156775916816,7770.0
TEX,sun0.5,wnd1,0.02,82963583.83915693,0.2505248933211779,8760.0
TEN,sun0.1,wnd1,0.1,307355.9627610594,0.0031184258518284,5347.0
TEX,sun0.5,wnd0.5,0.02,47531505.11655122,0.1435307480424778,8760.0
NW,sun0.1,wnd0.1,0.02,5248374.979733944,0.0212078919199445,8760.0
CAR,sun1,wnd1,0.18,5439458.261091888,0.0388893533102979,7323.0
CAL,sun1,wnd0.1,0.06,15964861.066927597,0.1306662480236136,8698.0
SE,sun0.5,wnd0.1,0.18,3207648.8691735268,0.016752446120538,7869.0
TEN,sun1,wnd0.3,0.14,1148062.9480335414,0.01164821773592,6277.0
MIDW,sun0.3,wnd0.1,0.14,12836861.695884945,0.0167030408116278,8760.0
TEX,sun0.1,wnd0.3,0.18,22162514.84368074,0.0669240817477993,8590.0
NW,sun1,wnd1,0.14,42152529.61495763,0.1703320162294504,8463.0
CAR,sun0.1,wnd1,0.1,831508.9928877056,0.0059448653621268,7125.0
SE,sun0.1,wnd0.3,0.02,702845.047673732,0.0036707177975109,2667.0
TEX,sun0.5,wnd0.3,0.18,29671161.02430928,0.0895979188259487,8626.0
FLA,sun0.3,wnd0.5,0.14,2767816.5058658123,0.0150135939513458,4761.0
CAL,sun1,wnd1,0.18,19500474.279843062,0.1596038824356921,8507.0
NY,sun1,wnd0.5,0.02,1161081.7318435758,0.0150908901860708,3245.0
MIDA,sun0.3,wnd0.1,0.18,4101403.633277178,0.0074753702228493,8760.0
CAL,sun1,wnd0.1,0.02,15662640.040928572,0.1281926851547862,7509.0
TEX,sun0.1,wnd1,0.02,73963048.85765043,0.2233460039611548,8760.0
NE,sun0.3,wnd0.1,0.02,300652.04041387886,0.0052941708720936,1043.0
CAR,sun0.1,wnd0.1,0.06,745881.5871268511,0.0053326730672622,5868.0
TEX,sun0.3,wnd0.1,0.1,15124970.156294525,0.0456728284814436,8674.0
SW,sun0.1,wnd0.1,0.14,1352262.605254948,0.0163292209491266,7420.0
MIDA,sun1,wnd1,0.06,25728410.973305047,0.0468935551016217,8760.0
TEX,sun1,wnd0.3,0.1,42692654.72433728,0.1289188855576464,8581.0
NE,sun0.3,wnd1,0.06,1681527.6482383087,0.0296099593525742,4052.0
SE,sun0.1,wnd0.1,0.14,889909.3346658945,0.0046476901896669,7705.0
NE,sun0.1,wnd0.3,0.02,519798.2070356086,0.0091531077695869,1084.0
NY,sun0.5,wnd0.5,0.06,1230152.472986728,0.01598862110464,6534.0
NY,sun0.1,wnd0.3,0.14,871769.3717669845,0.0113306199693854,7383.0
CENT,sun0.5,wnd0.3,0.14,24169654.63653693,0.0933336790071418,8647.0
MIDW,sun1,wnd0.1,0.14,17067255.345359802,0.0222075355588978,8760.0
MIDW,sun0.1,wnd1,0.1,90419629.6746347,0.1176520243348765,8760.0
TEN,sun0.5,wnd0.3,0.14,707436.9347032905,0.0071776373098446,6173.0
FLA,sun0.5,wnd0.3,0.02,4631068.623568028,0.0251205178261333,3013.0
SE,sun0.5,wnd0.3,0.06,3341682.506064892,0.0174524576778943,5565.0
TEX,sun0.1,wnd0.5,0.06,38245715.39554685,0.1154904757735315,8710.0
CENT,sun0.5,wnd0.5,0.1,39637694.02949098,0.1530651499479551,8651.0
MIDA,sun0.3,wnd0.5,0.14,11260460.237735868,0.0205237320398748,8760.0
CAL,sun1,wnd0.1,0.1,15408955.676112875,0.1261163761913847,8387.0
NE,sun1,wnd1,0.02,1985006.8707815856,0.0349539139722153,1611.0
TEX,sun1,wnd1,0.02,94256550.8237049,0.2846262329471086,8760.0
TEX,sun0.3,wnd0.3,0.18,25910466.293392062,0.0782417598622386,8594.0
TEX,sun0.1,wnd0.3,0.1,24015069.473751307,0.0725182355872701,8689.0
NE,sun0.1,wnd1,0.14,1569015.751489058,0.0276287414446102,5867.0
MIDW,sun0.1,wnd0.5,0.02,48129090.094786525,0.0626245086318439,8760.0
SW,sun0.5,wnd0.1,0.1,3004398.248429984,0.0362795529708024,6733.0
CAR,sun0.3,wnd0.3,0.06,1855524.4764369729,0.0132660539848646,5881.0
MIDW,sun0.5,wnd0.5,0.18,45672478.812390685,0.0594280203093657,8714.0
SE,sun0.5,wnd0.3,0.1,3314822.666988611,0.0173121779823029,6760.0
MIDW,sun1,wnd0.1,0.02,16794060.19762957,0.0218520600688456,8760.0
